Year, Month, Day, H, M, S, mS, DriveTrainDistanceL, DriveTrainDistanceR, DriveTrainRateL, DriveTrainRateR, DriveTrainLeft, DriveTrainRight, ChassisAngle, GyroSetpoint, GyroCompensation, GyroIsConnected, GyroIsCalibrating, ChassisX, ChassisY, leftDrivePID Error, Pressure, Shifter, LiftPosition, LiftVelocity, LiftOutput, LiftSetpoint, LiftCalibrated, PogoPosition, PogoOutput, PogoSetpoint, HandAngle, HandOutput, HandSetpoint, HandCalibrated, SensorPickupDistanceFiltered, SensorPickupDistanceRaw, SensorVoltage, BallInRange, HasBall, HasHatch, BatteryV, MatchTime, RobotMode, 
2017,2,19,22,48,44,789,0,0,0,0,0,0,-6.619999886,0,0,1,0,0,0,0,119.5178082,0,0,0,0,999,1,0,0,999,61.603125,0,999,1,7.463778785,7.992220045,0.628662045,0,0,1,12.83121753,-1,0, 
2017,2,19,22,48,44,823,0,0,0,0,0,0,-6.619999886,0,0,1,0,0,0,0,119.5605328,0,0,0,0,999,1,0,0,999,61.69101563,0,999,1,7.861480845,7.910020153,0.63476556,0,0,1,12.82493506,-1,0, 
2017,2,19,22,48,44,848,0,0,0,0,0,0,-6.619999886,0,0,1,0,0,0,0,119.5605328,0,0,0,0,999,1,0,0,999,61.77890625,0,999,1,7.449259267,7.449259267,0.67138665,0,0,1,12.82493506,-1,0, 
2017,2,19,22,48,44,868,0,0,0,0,0,0,-6.619999886,0,0,1,0,0,0,0,119.5605328,0,0,0,0,999,1,0,0,999,61.69101563,0,999,1,7.492982676,7.492982676,0.667724541,0,0,1,12.84378247,-1,0, 
2017,2,19,22,48,44,886,0,0,0,0,0,0,-6.619999886,0,0,1,0,0,0,0,119.5605328,0,0,0,0,999,1,0,0,999,61.69101563,0,999,1,7.492982676,7.942703025,0.632324154,0,0,1,12.8375,-1,0, 
2017,2,19,22,48,44,905,0,0,0,0,0,0,-6.619999886,0,0,1,0,0,0,0,119.5605328,0,0,0,0,999,1,0,0,999,61.69101563,0,999,1,7.492982676,7.877596454,0.637206966,0,0,1,12.83121753,-1,0, 
2017,2,19,22,48,44,924,0,0,0,0,0,0,-6.619999886,0,0,1,0,0,0,0,119.5178082,0,0,0,0,999,1,0,0,999,61.69101563,0,999,1,7.492982676,7.420383559,0.673828056,0,0,1,12.8375,-1,0, 
2017,2,19,22,48,44,947,0,0,0,0,0,0,-6.619999886,0,0,1,0,0,0,0,119.5605328,0,0,0,0,999,1,0,0,999,61.69101563,0,999,1,7.492982676,7.612042228,0.657958917,0,0,1,12.83121753,-1,0, 
2017,2,19,22,48,44,970,0,0,0,0,0,0,-6.619999886,0,0,1,0,0,0,0,119.5605328,0,0,0,0,999,1,0,0,999,61.69101563,0,999,1,7.877596454,8.042337776,0.624999936,0,0,1,12.82493506,-1,0, 
2017,2,19,22,48,44,989,0,0,0,0,0,0,-6.619999886,0,0,1,0,0,0,0,119.5605328,0,0,0,0,999,1,0,0,999,61.69101563,0,999,1,7.877596454,7.845428894,0.639648372,0,0,1,12.83121753,-1,0, 
2017,2,19,22,48,45,8,0,0,0,0,0,0,-6.619999886,0,0,1,0,0,0,0,119.5178082,0,0,0,0,999,1,0,0,999,61.69101563,0,999,1,7.845428894,7.449259267,0.67138665,0,0,1,12.84378247,-1,0, 
2017,2,19,22,48,45,25,0,0,0,0,0,0,-6.619999886,0,0,1,0,0,0,0,119.4750836,0,0,0,0,999,1,0,0,999,61.77890625,0,999,1,7.845428894,7.627182404,0.656738214,0,0,1,12.82493506,-1,0, 
2017,2,19,22,48,45,44,0,0,0,0,0,0,-6.619999886,0,0,1,0,0,0,0,119.5605328,0,0,0,0,999,1,0,0,999,61.77890625,0,999,1,7.845428894,7.627182404,0.63476556,0,0,1,12.83121753,-1,0, 
2017,2,19,22,48,45,60,0,0,0,0,0,0,-6.619999886,0,0,1,0,0,0,0,119.5605328,0,0,0,0,999,1,0,0,999,61.69101563,0,999,1,7.845428894,7.910020153,0.63476556,0,0,1,12.8375,-1,0, 
2017,2,19,22,48,45,76,0,0,0,0,0,0,-6.619999886,0,0,1,0,0,0,0,119.4750836,0,0,0,0,999,1,0,0,999,61.77890625,0,999,1,7.719260925,7.719260925,0.649413996,0,0,1,12.8375,-1,0, 
